date,price
11/18/2014,514.9728984
11/19/2014,509.9425794
11/20/2014,523.8421147
11/21/2014,513.9669151
11/22/2014,525.0305385
11/23/2014,532.5254906
11/24/2014,537.5513847
11/25/2014,541.9825137
11/26/2014,542.57632
11/27/2014,531.2003212
11/28/2014,529.0524896
11/29/2014,537.094525
11/30/2014,528.8239864
12/1/2014,533.0281234
12/2/2014,536.1350938
12/3/2014,534.8101073
12/4/2014,524.4363335
12/5/2014,508.982131
12/6/2014,514.6528172
12/7/2014,511.3603168
12/8/2014,515.0186239
12/9/2014,516.8475784
12/10/2014,519.2707397
12/11/2014,516.8475784
12/12/2014,510.9944568
12/13/2014,522.9736163
12/14/2014,520.5965227
12/15/2014,521.4651017
12/16/2014,514.2412782
12/17/2014,521.7850971
12/18/2014,518.0363279
12/19/2014,521.1908168
12/20/2014,530.5148623
12/21/2014,530.4691644
12/22/2014,538.4193963
12/23/2014,554.7692767
12/24/2014,537.4143276
12/25/2014,534.0790517
12/26/2014,555.6367304
12/27/2014,561.3886212
12/28/2014,556.686769
12/29/2014,564.3553954
12/30/2014,570.6986623
12/31/2014,568.0976415
1/1/2015,563.168724
1/2/2015,563.8077073
1/3/2015,561.5712011
1/4/2015,544.2206376
1/5/2015,541.2059777
1/6/2015,539.4244267
1/7/2015,523.9792433
1/8/2015,532.3655599
1/9/2015,530.1492769
1/10/2015,546.5955841
1/11/2015,553.3995565
1/12/2015,555.7736943
1/13/2015,548.6963228
1/14/2015,553.8561375
1/15/2015,549.9749529
1/16/2015,548.9703201
1/17/2015,551.2078602
1/18/2015,546.8239333
1/19/2015,541.9825137
1/20/2015,537.0488386
1/21/2015,554.5409948
1/22/2015,551.1165356
1/23/2015,550.888223
1/24/2015,538.9675995
1/25/2015,541.4800518
1/26/2015,527.8185485
1/27/2015,524.6191672
1/28/2015,515.5215996
1/29/2015,519.4078929
1/30/2015,508.6162362
1/31/2015,495.1200783
2/1/2015,501.0684511
2/2/2015,500.6109353
2/3/2015,506.9239026
2/4/2015,504.2708231
2/5/2015,498.7350314
2/6/2015,507.5185194
2/7/2015,501.0226999
2/8/2015,491.5961246
2/9/2015,492.0080419
2/10/2015,479.9221857
2/11/2015,470.7162957
2/12/2015,451.238908
2/13/2015,453.5770863
2/14/2015,460.7734696
2/15/2015,467.3261407
2/16/2015,455.5483005
2/17/2015,465.3101351
2/18/2015,454.3564244
2/19/2015,452.2017172
2/20/2015,452.797721
2/21/2015,450.5511615
2/22/2015,474.0143466
2/23/2015,464.9435695
2/24/2015,467.4635891
2/25/2015,437.3422328
2/26/2015,440.4158612
2/27/2015,455.3190985
2/28/2015,451.1472097
3/1/2015,442.2047865
3/2/2015,450.7804127
3/3/2015,451.9266331
3/4/2015,440.0947564
3/5/2015,444.6356534
3/6/2015,444.5439275
3/7/2015,441.2415374
3/8/2015,438.6267877
3/9/2015,439.9571386
3/10/2015,452.1100229
3/11/2015,458.8943821
3/12/2015,450.3677588
3/13/2015,449.3590167
3/14/2015,453.2103296
3/15/2015,443.1679927
3/16/2015,449.6341328
3/17/2015,452.660183
3/18/2015,453.3478641
3/19/2015,452.3392579
3/20/2015,469.9375205
3/21/2015,470.9453422
3/22/2015,474.3807677
3/23/2015,481.2958884
3/24/2015,476.0753904
3/25/2015,472.2279607
3/26/2015,472.6402158
3/27/2015,472.8692433
3/28/2015,477.8614811
3/29/2015,479.0521325
3/30/2015,488.483633
